"candidate0","candidate1","candidate2","conversation","instanceId"
"I am glad that I was of help.","Hehe, I like to sleep in too.","Slightly above average.","<html><body><div><strong>ADVISOR: </strong><span>Hello Mingyang! Are you doing well?</span></div><div><strong>STUDENT: </strong><span>Hi advisor. I'm doing alright. I would like some advice on which courses to take next semester.</span></div><div><strong>STUDENT: </strong><span>My interested area is Software Development and Intelligent system.</span></div><div><strong>ADVISOR: </strong><span>you have three choices namely, EECS481 Software Engineering, EECS492 Introduction to Artificial Intelligence, and EECS381 Object Oriented and Advanced Programming.</span></div><div><strong>STUDENT: </strong><span>how many difficulty levels do these classes have?</span></div><div><strong>ADVISOR: </strong><span>EECS381 is not easy</span></div><div><strong>ADVISOR: </strong><span>any thoughts about that?</span></div><div><strong>STUDENT: </strong><span>What time does the course occur? I like afternoon classes and will find something else if it's scheduled too early.</span></div><div><strong>ADVISOR: </strong><span>EECS351 is after lunch. The others are before. EECS481 is from nine to ten thirty and EECS492 is from ten thirty to twelve.</span></div><div><strong>ADVISOR: </strong><span>481 is the early morning and is quite similar to EECS381, so you might want to skip it.</span></div><div><strong>ADVISOR: </strong><span>How about EECS494 Computer Game Design and Development? It's after lunch and is what you're interested in. It's also hard enough for you.</span></div><div><strong>STUDENT: </strong><span>Can another interesting course be recommended by you that is in the afternoon and has a high clarity.</span></div><div><strong>STUDENT: </strong><span>It shounds like a good match. What is the clarity level? Will the professors be able to make their lectures easy to be understood?</span></div><div><strong>ADVISOR: </strong><span>A high clarity rating is EECS494 as well.</span></div><div><strong>STUDENT: </strong><span>Great, that's so awesome.</span></div><div><strong>STUDENT: </strong><span>That's all I have to ask. Many thanks for your suggestions.</span></div></body></html>","935124695-867993169-337348926-972057484"
"EECS381 is in the afternoon. The other two are in the morning.EECS481 is from 9:00 to 10:30, and EECS492 is from 10:30 to 12:00.","Are you behind at all in getting to graduate?","No problem!","<html><body><div><strong>ADVISOR: </strong><span>Hello Mingyang! Are you doing well?</span></div><div><strong>STUDENT: </strong><span>Hi advisor. I'm doing alright. I would like some advice on which courses to take next semester.</span></div><div><strong>STUDENT: </strong><span>My interested area is Software Development and Intelligent system.</span></div><div><strong>ADVISOR: </strong><span>you have three choices namely, EECS481 Software Engineering, EECS492 Introduction to Artificial Intelligence, and EECS381 Object Oriented and Advanced Programming.</span></div><div><strong>STUDENT: </strong><span>how many difficulty levels do these classes have?</span></div><div><strong>ADVISOR: </strong><span>EECS381 is not easy</span></div><div><strong>ADVISOR: </strong><span>any thoughts about that?</span></div><div><strong>STUDENT: </strong><span>What time does the course occur? I like afternoon classes and will find something else if it's scheduled too early.</span></div></body></html>","267073806-256807839-926594012-234044713"
"EECS492 and EECS481 are rated as medium, but EECS381 is rated as very hard.","Software engineering and Web design are a couple options if you need suggestions.","I noticed you have not taken the core CS classes yet.","<html><body><div><strong>ADVISOR: </strong><span>Hello Mingyang! Are you doing well?</span></div><div><strong>STUDENT: </strong><span>Hi advisor. I'm doing alright. I would like some advice on which courses to take next semester.</span></div><div><strong>STUDENT: </strong><span>My interested area is Software Development and Intelligent system.</span></div><div><strong>ADVISOR: </strong><span>you have three choices namely, EECS481 Software Engineering, EECS492 Introduction to Artificial Intelligence, and EECS381 Object Oriented and Advanced Programming.</span></div><div><strong>STUDENT: </strong><span>how many difficulty levels do these classes have?</span></div></body></html>","480540185-793118053-460517879-689199467"
"OK, are there any requirements remaining?","2.23 is how easy the rating is","Was there anything else?","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div></body></html>","701384316-660033767-140817426-984904624"
"These algorithms are basic ones for programming.","Have you taken EECS 281?","Are you interested in any other fields?","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div><div><strong>ADVISOR: </strong><span>As for requirements, do you have any left?</span></div><div><strong>STUDENT: </strong><span>Not to my knowledge.</span></div><div><strong>ADVISOR: </strong><span>Do you have a precise preference as to course selection?</span></div><div><strong>STUDENT: </strong><span>I do prefer classes with a lighter work load</span></div><div><strong>ADVISOR: </strong><span>What do you think about EECS183, Elementary Programming Concepts?</span></div><div><strong>ADVISOR: </strong><span>The class is entry level.</span></div><div><strong>STUDENT: </strong><span>Sounds like it is not very hard for students without much programming background.</span></div><div><strong>STUDENT: </strong><span>What other classes do I have to take first?</span></div><div><strong>ADVISOR: </strong><span>Do you possess basic knowledge about selection and iteration?</span></div><div><strong>STUDENT: </strong><span>I have taken many math classes.</span></div><div><strong>STUDENT: </strong><span>But I am not sure what you refer to by ""selection and iteration"".</span></div></body></html>","621723893-238165872-547217160-831831863"
"What about EECS183, Elementary Programming Concepts?","If you need help CAPS will help you","EECS485 is another medium-workload class I can recommend if the web development part of software interests you.","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div><div><strong>ADVISOR: </strong><span>As for requirements, do you have any left?</span></div><div><strong>STUDENT: </strong><span>Not to my knowledge.</span></div><div><strong>ADVISOR: </strong><span>Do you have a precise preference as to course selection?</span></div><div><strong>STUDENT: </strong><span>I do prefer classes with a lighter work load</span></div></body></html>","254393192-551666022-530899303-711985936"
"Then do you have an explicit preference on course selection?","Help is happy","Hi","<html><body><div><strong>STUDENT: </strong><span>Hi, my class selections for next semester are under consideration.</span></div><div><strong>STUDENT: </strong><span>What are some suggestions that can be given by you?</span></div><div><strong>ADVISOR: </strong><span>As for requirements, do you have any left?</span></div><div><strong>STUDENT: </strong><span>Not to my knowledge.</span></div></body></html>","804578096-728215028-614181417-790255425"
"Consider taking classes outside your major, since EECS 281 is a tough class, so you might want to balance your workload.","If 280 is concerning you, take 183 or 203 instead","EECS 388 would be my recommendation if you are interested in security and the class size is large.","<html><body><div><strong>STUDENT: </strong><span>Hello!</span></div><div><strong>ADVISOR: </strong><span>How can I help you, jasonnoh?</span></div><div><strong>STUDENT: </strong><span>Could you recommend what classes I should take next semester, I'm right now intereste in taking computer science major.</span></div><div><strong>ADVISOR: </strong><span>EECS 281 and EECS 203 are required courses for computer sicence. Have you looked into them?</span></div><div><strong>STUDENT: </strong><span>No</span></div></body></html>","195662717-340236312-632732856-982992081"
"Hello jasonnoh! How may I assist you today?","Yes, Introduction to Cryptography is EECS475.","Is it accurate to say that you are apprehensive about: course arranging, profession guidance, or other?","<html><body><div><strong>STUDENT: </strong><span>Hello!</span></div></body></html>","27464399-426413571-972014380-590423014"
"EECS 281 and EECS 203 are required courses for computer sicence. Have you looked into them?","Hello, how are you doing?","Do you know the required class for your major or an upper level elective course that you're trying to find?","<html><body><div><strong>STUDENT: </strong><span>Hello!</span></div><div><strong>ADVISOR: </strong><span>How can I help you, jasonnoh?</span></div><div><strong>STUDENT: </strong><span>Could you recommend what classes I should take next semester, I'm right now intereste in taking computer science major.</span></div></body></html>","923868782-619942173-958187114-619737942"
